GSM_ID,100152367_TGI_at,100148025_TGI_at,100147415_TGI_at,100142646_TGI_at,100131664_TGI_at,100159841_TGI_at,100122391_TGI_at,100146289_TGI_at,100160445_TGI_at,100121818_TGI_at,100149328_TGI_at,100139653_TGI_at,100122717_TGI_at,100137227_TGI_at,100141545_TGI_at,100147092_TGI_at,100142419_TGI_at,100152115_TGI_at,100155952_TGI_at,100156268_TGI_at,100158086_TGI_at,100130781_TGI_at,100149348_TGI_at,100152725_TGI_at,100134865_TGI_at,100134610_TGI_at,100146924_TGI_at,100125753_TGI_at,100152843_TGI_at,100148916_TGI_at,Type
GSM616756,28.51445,11.21147,19.41681,3.086842,5.837623000000002,12.78761,18.04428,4.0513949999999985,28.94423,21.41994,5.911228,13.88933,6.877565,32.24426,7.729222999999998,3.424258,30.39085,5.74938,16.47622,19.79029,30.7303,24.51968,2.202741,7.493071,8.505278,13.53805,5.649412,8.231150999999999,10.00613,19.29626,3
GSM616757,23.30463,18.12788,4.759809,7.072543,9.135695,20.7944,19.82343,4.120171,28.56887,23.77425,12.74414,18.17638,11.56265,28.24335,6.278911,9.218172,31.73232,17.17766,14.11117,20.55565,16.50862,22.55024,4.227176999999998,10.75767,6.649467,15.39703,12.08166,10.4611,9.788888,20.47897,3
GSM616758,31.19285,12.01714,16.479589999999998,4.091263,7.1581009999999985,13.1688,21.64463,13.10423,29.51022,16.64987,5.173024,9.117576,11.02956,33.37301,8.446384,2.490445,33.84551,8.944697999999997,19.37077,12.07637,24.78856,23.83597,3.713323,10.34005,2.493626,11.38723,8.227684,3.009221,7.9485160000000015,13.99918,3
GSM616759,27.506079999999997,15.155679999999998,9.861935,2.560366,12.98607,17.37732,19.29355,3.717413,28.38822,21.71848,5.479371,1.173066,23.20617,35.69345,8.630453999999999,1.893895,30.84956,8.795012,1.019944,21.27415,22.40864,24.2358,2.5114490000000003,5.711216,5.0015220000000005,14.60752,3.852903,7.531452000000002,5.933064,21.97791,3
GSM616760,26.10608,20.933670000000006,5.118308,6.9830830000000015,14.38409,21.76423,11.11226,12.12629,21.66737,18.06959,14.55146,15.17295,16.1999,30.95353,7.421025,14.45398,36.46325,14.3671,10.61832,5.726093,0.3748556,27.320490000000003,3.33911,8.134072999999999,17.032610000000002,10.65049,9.850723,13.218520000000002,3.87189,16.48464,3
GSM616761,24.235570000000003,15.257079999999998,9.044221,5.3954260000000005,10.36339,22.74206,15.30412,12.96575,26.52136,20.46087,12.48538,20.67138,12.77987,26.60722,9.417399,9.149538,33.39302,5.031099,18.27113,13.42404,27.48302,25.96116,2.861847,3.861886,21.89722,13.35377,8.914786999999997,18.15859,10.51262,18.09949,3
GSM616762,26.13124,20.54309,19.32726,4.077171,15.43391,21.82664,18.46078,2.92595,27.66348,19.3599,9.868452,24.89751,12.95497,28.43493,7.742464,7.885822,31.71632,15.15186,12.62237,23.03154,22.0443,18.3591,6.271344999999998,10.7676,11.06079,13.681070000000002,8.127386999999999,15.783779999999998,7.3924509999999986,20.6894,3
GSM616763,24.85951,18.75234,13.00725,6.853167,17.28399,23.5405,16.10666,7.8411940000000016,25.33327,17.53657,13.0872,13.72688,15.79388,29.00794,7.388041999999999,10.52331,34.61319,20.77087,2.603655,18.40345,24.66156,28.2439,3.270009,11.3969,24.62081,15.18325,8.434406,18.44463,5.327441,19.82406,3
GSM616764,27.525129999999997,17.90729,8.696527,7.724077999999999,12.28925,21.375770000000006,15.97216,2.861021,25.858,19.11382,12.69935,19.5556,16.14024,29.37704,5.190815,8.755443,36.37921,8.680347,17.40524,4.33677,25.93864,23.8595,4.269114,8.740119,7.27957,14.779279999999998,9.223958,15.97231,5.888839,16.65429,3
GSM616765,22.84605,18.43945,18.32779,5.348082,11.96445,23.98649,14.75503,18.0701,28.36448,18.84381,14.97712,9.375404,6.095232,23.85814,7.937074000000001,9.186154,34.361909999999995,21.9162,18.88806,15.183979999999998,22.90547,24.67609,3.58523,7.634699,19.7655,8.679787,12.68365,21.41731,7.851851,15.91474,3
GSM616766,26.067870000000003,18.80778,10.54322,8.502886,14.22304,21.50731,13.89924,16.92879,25.22525,19.67378,15.81075,13.05796,10.58134,25.29157,10.62302,17.075670000000002,36.21081,11.5145,16.07518,6.467371,24.84827,21.87243,4.151369,14.17198,19.01528,10.77194,9.840339,10.85713,12.85323,16.1871,3
GSM616767,25.82311,16.82377,19.59639,1.997378,3.91217,25.83875,19.22295,15.53882,31.69506,9.240584,15.7767,21.75354,6.287165,21.55817,8.835931,14.35672,30.65206,18.02363,21.29137,13.47032,28.73135,10.53897,5.406259,20.67871,8.918283,16.25301,19.11445,24.25749,5.22236,17.34702,3
GSM616768,28.01093,15.41339,10.31008,10.50019,8.861807,13.96095,17.82456,4.2637160000000005,28.17135,21.8371,7.189572999999998,3.5859589999999995,16.461289999999998,31.17095,6.568047,3.925987,30.62392,11.60158,3.3349580000000003,17.4549,12.60879,24.09581,3.050452,8.379498,6.043113,10.64331,5.179329,5.915995,3.35524,20.10102,3
GSM616769,25.89036,18.25776,17.78049,5.165591,9.606698,18.65336,17.3058,13.81704,28.77405,20.37509,8.649972,29.54405,10.9959,28.21547,7.314539999999999,5.147175,36.35057000000001,9.356458,22.51602,12.01582,26.76159,22.91249,5.907592,8.332971,13.77114,13.97674,10.55335,14.023879999999998,4.315331,18.70689,3
GSM616770,25.43246,12.09444,23.64619,1.865541,6.5702669999999985,16.19409,17.96912,7.125856,25.81533,17.99486,5.046167,17.65689,13.96508,27.99786,5.925256,2.919504,34.96844,4.377317,22.85931,11.95593,28.32705,12.90088,3.218546,1.273594,3.417754,14.81642,4.631288,4.531171,5.310698,13.38974,3
GSM616771,27.05785,27.7516,5.548303,7.184817,9.519028,19.2281,15.62428,7.919663000000001,25.6053,21.01153,11.62746,13.49588,13.64496,31.32625,7.304678999999998,6.380209,36.26134,5.31044,15.92144,6.604959,25.9218,22.03975,8.978617,7.7177479999999985,10.59992,17.86184,7.446622,9.651822,7.027641,14.87915,3
GSM616772,26.934209999999997,22.16384,6.144568,8.70434,7.703311,22.47823,16.64461,5.057281,28.63706,23.0974,15.09148,11.73126,16.58174,32.30651,8.604438,10.75063,34.10275,17.97579,13.433329999999998,13.09001,20.46527,24.44608,5.546838,8.346426,11.47664,16.81261,7.375683,15.24214,6.2837830000000015,21.84723,3
